,1. open,2. high,3. low,4. close,5. volume
2024-11-13,558.05,598.0,541.5,547.55,633607.0
2024-11-12,583.85,587.0,555.0,557.8,125483.0
2024-11-11,583.9,587.2,578.0,578.85,102354.0
2024-11-08,599.75,599.75,586.85,588.65,77865.0
2024-11-07,618.8,618.8,597.0,599.6,220906.0
2024-11-06,605.85,626.85,605.7,616.35,191274.0
2024-11-05,583.85,607.5,581.0,603.35,109040.0
2024-11-04,597.1,597.1,582.5,584.8,109734.0
2024-11-01,595.5,599.6,592.15,596.95,99770.0
2024-10-31,599.05,609.1,589.9,592.85,143381.0
2024-10-30,594.0,599.5,584.45,591.45,133805.0
2024-10-29,578.05,596.25,578.05,591.8,473689.0
2024-10-28,585.65,607.0,572.6,599.0,538821.0
2024-10-25,605.1,612.5,584.75,592.35,167052.0
2024-10-24,587.05,612.0,586.0,604.6,217697.0
2024-10-23,588.15,595.95,578.75,586.25,259021.0
2024-10-22,603.05,607.75,584.05,587.8,438141.0
2024-10-21,611.55,620.05,601.0,603.65,241272.0
2024-10-18,609.85,613.95,595.0,611.45,312002.0
2024-10-17,625.55,628.0,607.65,609.15,134850.0
2024-10-16,632.95,635.75,621.85,625.55,120855.0
2024-10-15,638.05,640.55,632.0,633.4,57486.0
2024-10-14,642.0,645.65,631.25,634.35,106995.0
2024-10-11,645.0,645.0,637.25,641.75,78411.0
2024-10-10,642.75,648.0,631.05,645.0,124479.0
2024-10-09,648.2,648.9,632.0,634.15,165766.0
2024-10-08,625.3,646.1,613.75,640.65,218275.0
2024-10-07,641.05,645.0,614.0,625.3,264421.0
2024-10-04,635.05,647.8,635.0,642.0,395310.0
2024-10-03,648.95,652.35,631.2,645.5,498668.0
2024-10-01,653.25,660.6,651.8,653.4,103359.0
2024-09-30,654.3,662.35,648.5,656.05,303076.0
2024-09-27,664.2,674.0,647.0,654.3,308349.0
2024-09-26,666.15,668.55,660.0,665.4,71695.0
2024-09-25,668.05,676.8,660.7,667.3,272607.0
2024-09-24,671.75,680.0,667.25,676.05,186002.0
2024-09-23,665.3,674.5,661.0,671.75,226592.0
2024-09-20,652.4,669.95,648.65,665.1,383739.0
2024-09-19,656.95,658.25,637.05,649.8,197030.0
2024-09-18,664.95,668.1,650.0,651.3,159187.0
2024-09-17,666.0,673.95,652.3,666.2,549851.0
2024-09-16,660.95,681.3,650.15,666.0,1749076.0
2024-09-13,647.65,647.65,630.45,633.55,447056.0
2024-09-12,635.7,654.6,623.25,651.35,364898.0
2024-09-11,637.0,640.0,625.0,626.8,282047.0
2024-09-10,641.35,645.95,633.75,637.2,384607.0
2024-09-09,638.7,644.75,621.2,635.5,759378.0
2024-09-06,644.95,648.0,631.35,635.05,407922.0
2024-09-05,651.75,655.75,640.95,643.9,144552.0
2024-09-04,655.95,659.0,649.15,650.7,170945.0
2024-09-03,670.0,672.0,656.4,658.55,408884.0
2024-09-02,639.65,684.9,628.0,670.45,1007718.0
2024-08-30,646.65,649.95,629.3,631.95,196552.0
2024-08-29,641.4,649.65,629.0,644.15,318301.0
2024-08-28,658.25,658.7,638.6,641.45,504932.0
2024-08-27,665.0,671.75,651.6,654.15,191153.0
2024-08-26,675.8,678.85,660.0,661.4,545933.0
2024-08-23,685.5,689.0,674.0,675.85,482117.0
2024-08-22,692.05,697.95,671.05,673.85,192081.0
2024-08-21,690.65,701.0,690.65,694.95,170436.0
2024-08-20,699.0,701.95,692.1,694.8,163605.0
2024-08-19,699.0,706.5,693.25,696.65,246017.0
2024-08-16,683.75,700.7,671.3,697.3,267482.0
2024-08-14,688.25,690.0,671.4,673.95,263981.0
2024-08-13,691.25,702.6,686.0,689.15,355325.0
2024-08-12,660.05,695.1,619.0,690.55,1618357.0
2024-08-09,698.45,703.25,692.0,695.1,197045.0
2024-08-08,694.8,700.0,686.1,691.05,180082.0
2024-08-07,700.0,703.4,688.25,690.9,199804.0
2024-08-06,692.15,706.95,682.5,687.25,408071.0
2024-08-05,685.2,719.5,685.2,690.8,1336154.0
2024-08-02,729.75,740.5,721.0,726.4,319628.0
2024-08-01,719.5,752.15,715.3,737.75,2012101.0
2024-07-31,734.7,748.85,713.0,734.5,534650.0
2024-07-30,721.35,734.9,717.0,729.15,779342.0
2024-07-29,719.7,724.85,715.1,716.75,563074.0
2024-07-26,704.95,727.9,699.4,713.05,409785.0
2024-07-25,692.05,709.2,686.15,694.9,440053.0
2024-07-24,697.0,709.25,692.95,694.75,190677.0
2024-07-23,704.0,728.7,646.25,696.95,1537266.0
2024-07-22,693.75,710.0,682.5,696.15,212275.0
2024-07-19,700.0,702.45,690.0,694.25,171238.0
2024-07-18,714.4,714.4,696.35,699.35,213725.0
2024-07-16,710.05,731.0,709.0,712.15,503845.0
2024-07-15,714.55,714.55,705.25,708.7,397707.0
2024-07-12,722.0,726.0,708.0,710.05,452733.0
2024-07-11,730.75,732.2,716.0,721.2,176101.0
2024-07-10,734.0,737.85,714.2,727.35,910262.0
2024-07-09,697.05,745.0,696.0,725.35,5943408.0
2024-07-08,707.15,712.0,693.05,697.95,241030.0
2024-07-05,710.95,714.7,706.75,708.85,484714.0
2024-07-04,715.35,718.5,710.5,712.3,141404.0
2024-07-03,711.55,721.85,711.15,715.0,391273.0
2024-07-02,716.05,733.0,708.45,710.8,739608.0
2024-07-01,718.6,722.75,712.7,717.8,146911.0
2024-06-28,717.95,728.0,715.05,718.2,200771.0
2024-06-27,720.75,728.0,710.15,715.3,365709.0
2024-06-26,725.0,730.0,719.0,720.0,307383.0
2024-06-25,738.05,744.3,724.0,725.55,129773.0
2024-06-24,729.75,745.0,720.15,737.95,166841.0
